# sqlite> select V.start_day, V.size, U.size, V.size - U.size from ArcStatsVolume as V, ArcStatsUser as U where U.src=9 and V.src = 9 and (V.type = 'fdsnws') and U.userID like '%fdsn%' and U.start_day > '2017-01-01' and V.start_day = U.start_day;
2017-01-01|171739648|171739648|0
2017-01-05|280483328|280483328|0
2017-01-12|2949378560|2949378560|0
2017-01-13|4065955328|4065955328|0
2017-01-14|22521300480|22521300480|0
2017-01-15|11292794368|11292794368|0
2017-01-16|3456219136|3456219136|0
2017-01-17|9855453184|9855453184|0
2017-01-18|4626987008|4626987008|0
2017-01-19|37695972864|37695972864|0
2017-01-20|37282426880|37282426880|0
2017-01-21|4755046912|4755046912|0
2017-01-22|18125244928|18125244928|0
2017-01-23|5433939456|5433939456|0
2017-01-24|3857677824|3857677824|0
2017-01-25|9507828736|9507828736|0
2017-01-26|5969068032|5969068032|0
2017-01-27|7917003776|7917003776|0
2017-01-28|12804729856|7820856320|4983873536
2017-01-29|8311479296|7796788224|514691072
2017-01-30|6111485952|6111485952|0
2017-01-31|6798126080|6798126080|0
2017-02-01|12752601600|12752601600|0
2017-02-02|6647092224|6647092224|0
2017-02-03|10634993664|10634993664|0
2017-02-04|19626757632|19626757632|0
2017-02-05|12730833920|12730833920|0
2017-02-06|11831760384|11780071424|51688960
2017-02-07|15750854656|15750854656|0
2017-02-08|23115410432|20357385216|2758025216
2017-02-09|24127745536|24127132672|612864
2017-02-10|25383496192|25383496192|0
2017-02-11|20994828800|20994828800|0
2017-02-12|4258369536|4258369536|0
2017-02-13|12306462720|11701942272|604520448
2017-02-14|8106836992|7610500096|496336896
2017-02-15|46947165696|9817947648|37129218048
2017-02-16|44873470976|41031246848|3842224128
2017-02-17|13188937216|13188937216|0
2017-02-18|3305735168|3305735168|0
2017-02-19|3905864192|3610058752|295805440
2017-02-20|5224754688|5224754688|0
2017-02-21|7923344896|7791699456|131645440
2017-02-22|17846782976|17846782976|0
2017-02-23|9372933120|9372933120|0
2017-02-24|17990787584|17990787584|0
2017-02-25|1940639744|1940639744|0
2017-02-26|0|0|0
2017-02-27|1279611904|1279611904|0
2017-03-01|6044018176|6044018176|0
2017-03-02|3687148544|3687148544|0
2017-03-03|22878272000|22878272000|0
2017-03-04|9103644672|9103644672|0
2017-03-05|1173853696|1173853696|0
2017-03-06|1743619072|1743619072|0
2017-03-07|6028341248|4548482560|1479858688
2017-03-08|98108333056|94439276032|3669057024
2017-03-13|588303360|588303360|0
2017-03-14|134212872192|134212872192|0
2017-03-15|142835375104|141903098880|932276224
2017-03-16|71332406272|71332406272|0
2017-03-17|88915976704|88915976704|0
2017-03-18|59377663488|59377663488|0
2017-03-19|5119699968|5119699968|0
2017-03-20|10074587648|10074587648|0
2017-03-21|3037760512|3037760512|0
2017-03-22|1903457792|1903457792|0
2017-03-23|3384438784|3384438784|0
2017-03-24|2499679744|2499679744|0
2017-03-25|1484922368|1484922368|0
2017-03-26|2292895744|2292895744|0
